@relation 'churn-weka.filters.unsupervised.attribute.Remove-R1,3-4,10,13,16,19-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R11-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R12-precision6-weka.filters.unsupervised.attribute.Remove-R1-4,6,8,10,12'

@attribute 'Day Mins' {low,medium,high}
@attribute 'Eve Mins' {low,medium,high}
@attribute 'Night Mins' {low,medium,high}
@attribute 'Intl Mins' {low,medium,high}
@attribute 'CustServ Calls' {low,high}
@attribute Churn? {False.,True.}

@data
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,low,medium,low,True.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
high,medium,high,medium,low,False.
medium,high,medium,medium,low,True.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
low,high,high,medium,low,False.
high,high,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,True.
medium,high,high,medium,low,False.
low,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,high,medium,high,True.
high,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,low,low,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,high,low,False.
medium,medium,low,medium,low,False.
medium,high,medium,high,low,False.
medium,high,medium,high,low,False.
medium,medium,high,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,high,True.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
low,medium,medium,low,low,True.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,high,medium,medium,low,True.
low,medium,medium,high,low,False.
low,medium,medium,medium,low,True.
high,medium,medium,medium,low,True.
medium,medium,medium,low,low,False.
medium,medium,medium,high,low,False.
medium,high,medium,medium,low,True.
low,medium,medium,medium,low,False.
low,high,medium,high,low,False.
high,high,medium,medium,low,True.
medium,high,medium,medium,low,False.
low,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,low,medium,low,False.
low,high,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,high,low,medium,low,False.
high,medium,low,medium,low,False.
high,medium,medium,medium,high,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,low,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,high,low,False.
medium,medium,medium,high,low,False.
high,high,low,medium,low,True.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,low,medium,low,True.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,high,medium,medium,low,False.
medium,medium,medium,medium,low,True.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,True.
medium,medium,medium,medium,high,False.
medium,medium,medium,high,low,False.
high,medium,medium,medium,low,True.
high,high,medium,medium,low,True.
medium,medium,medium,low,low,False.
medium,high,medium,high,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,True.
medium,medium,high,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,low,medium,low,True.
high,medium,medium,low,low,False.
medium,medium,low,high,low,False.
high,high,high,high,low,False.
medium,high,medium,high,low,True.
medium,medium,low,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,low,low,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
high,medium,low,medium,low,False.
high,high,low,medium,low,True.
medium,medium,low,medium,low,False.
low,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,True.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,low,medium,low,False.
high,high,medium,medium,low,True.
medium,high,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,low,medium,low,low,False.
medium,high,medium,low,low,False.
medium,high,medium,medium,low,False.
medium,high,medium,medium,low,False.
high,medium,high,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,high,False.
high,high,medium,high,low,True.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
high,medium,medium,medium,low,False.
high,medium,low,high,low,False.
medium,medium,medium,high,low,False.
high,high,low,high,low,True.
high,medium,medium,medium,low,False.
low,high,medium,high,low,True.
medium,medium,high,medium,low,False.
medium,medium,medium,high,low,True.
low,medium,medium,medium,low,False.
high,medium,high,medium,low,True.
medium,medium,low,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,high,medium,medium,low,True.
low,medium,medium,medium,low,False.
medium,medium,high,low,low,False.
medium,high,medium,medium,low,False.
high,medium,medium,medium,low,True.
high,medium,medium,high,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,True.
low,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,low,high,low,False.
medium,high,medium,medium,low,False.
high,medium,high,high,low,True.
medium,high,medium,medium,low,False.
medium,medium,medium,high,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,high,low,medium,low,False.
high,high,medium,medium,low,True.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,high,medium,medium,low,False.
medium,high,medium,medium,low,False.
low,medium,low,medium,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,low,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
low,medium,low,medium,low,False.
high,medium,medium,medium,low,True.
low,medium,medium,medium,low,False.
high,high,medium,high,low,True.
medium,high,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,high,low,False.
high,medium,high,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
medium,low,high,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,high,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
high,medium,medium,high,low,True.
medium,high,low,high,high,True.
medium,high,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,True.
low,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,low,medium,low,False.
low,medium,medium,medium,low,True.
medium,medium,medium,high,low,False.
high,medium,high,low,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,low,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,high,high,low,low,False.
medium,medium,medium,medium,low,False.
low,medium,low,medium,low,False.
high,medium,medium,high,low,True.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,high,medium,high,low,False.
medium,medium,medium,medium,low,False.
low,high,medium,medium,low,False.
low,high,low,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,low,True.
high,medium,medium,low,low,True.
medium,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,high,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
high,high,medium,medium,low,True.
medium,medium,low,medium,high,True.
low,high,medium,medium,high,True.
low,medium,medium,medium,low,False.
high,high,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,low,medium,medium,low,False.
medium,high,medium,low,low,False.
low,high,medium,medium,low,False.
high,medium,medium,high,low,False.
high,high,medium,medium,low,True.
low,medium,medium,medium,low,False.
high,low,medium,high,low,False.
medium,medium,low,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,high,high,low,low,False.
medium,medium,medium,high,low,False.
high,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,high,low,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,low,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,high,medium,medium,low,False.
medium,low,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
high,medium,medium,high,low,True.
low,medium,low,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,low,medium,low,True.
medium,medium,high,medium,low,False.
high,medium,medium,low,low,False.
medium,high,low,medium,low,False.
medium,medium,low,high,low,False.
high,medium,medium,medium,low,True.
medium,medium,low,high,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,high,True.
medium,medium,medium,low,low,True.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,low,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,low,medium,low,False.
high,medium,high,high,low,True.
medium,medium,medium,medium,low,False.
low,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
high,medium,medium,low,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
high,high,medium,medium,low,False.
low,low,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,high,medium,medium,low,False.
high,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
low,high,medium,medium,low,True.
medium,low,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,high,high,low,True.
medium,high,high,medium,low,False.
low,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,low,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,high,medium,low,low,False.
high,medium,high,medium,low,False.
medium,medium,medium,low,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,low,low,medium,low,False.
medium,high,low,low,low,False.
medium,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,low,medium,low,False.
low,medium,medium,medium,low,False.
high,medium,low,medium,low,True.
high,medium,low,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,high,low,False.
medium,medium,low,low,low,False.
high,medium,low,medium,low,False.
low,medium,medium,high,low,False.
low,medium,medium,low,low,False.
medium,high,medium,low,low,False.
low,medium,medium,medium,low,True.
low,medium,medium,medium,low,True.
high,medium,medium,medium,low,False.
medium,high,medium,medium,high,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,low,low,False.
medium,high,medium,medium,low,False.
high,medium,high,medium,low,True.
medium,low,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,low,low,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,high,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
low,high,medium,high,low,False.
high,high,medium,medium,low,True.
medium,medium,medium,medium,low,True.
high,medium,high,low,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,low,medium,low,False.
medium,high,medium,medium,low,False.
medium,low,medium,medium,low,False.
medium,high,low,low,low,False.
medium,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
low,medium,low,high,low,False.
low,high,low,medium,low,False.
medium,high,medium,medium,low,False.
medium,low,medium,medium,low,False.
medium,high,medium,medium,low,False.
high,high,medium,medium,low,True.
medium,medium,medium,medium,low,False.
low,medium,low,medium,low,False.
medium,high,medium,high,low,False.
medium,high,medium,low,low,False.
high,high,medium,medium,low,True.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,high,True.
medium,high,medium,medium,high,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,high,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,high,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,high,True.
medium,medium,medium,medium,high,True.
high,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,low,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
high,high,medium,high,low,True.
low,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,low,medium,low,True.
medium,medium,medium,medium,low,True.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,high,True.
medium,high,medium,high,low,True.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,low,medium,high,low,True.
high,medium,medium,medium,low,False.
low,medium,low,high,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,low,low,True.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,high,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,high,low,high,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
high,high,low,medium,high,False.
low,high,low,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
low,high,medium,medium,low,False.
medium,medium,medium,high,low,False.
high,medium,medium,low,high,False.
medium,medium,medium,medium,low,False.
high,medium,high,high,low,True.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,low,medium,low,low,False.
low,medium,low,high,low,True.
medium,medium,low,medium,low,False.
medium,low,low,high,low,False.
medium,medium,medium,medium,high,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
low,low,medium,medium,low,False.
medium,high,medium,high,low,False.
high,medium,low,medium,low,False.
low,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,high,medium,low,low,False.
low,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
low,medium,medium,low,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
low,high,low,high,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,medium,high,low,False.
medium,medium,medium,high,low,True.
medium,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
low,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,low,low,medium,low,False.
high,medium,medium,medium,low,True.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,True.
medium,medium,low,low,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
low,medium,low,low,low,False.
low,high,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,high,high,high,low,False.
low,low,medium,medium,low,False.
medium,medium,medium,medium,high,True.
medium,medium,low,high,low,False.
medium,high,medium,low,high,False.
medium,medium,low,medium,low,False.
high,medium,high,medium,low,False.
medium,high,medium,medium,low,False.
low,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
low,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,high,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,high,True.
high,medium,medium,high,low,True.
medium,medium,high,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
high,high,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,True.
high,medium,medium,medium,low,False.
low,medium,high,medium,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
medium,low,medium,medium,low,False.
medium,medium,medium,medium,high,False.
high,medium,medium,medium,low,True.
medium,high,medium,medium,low,False.
medium,low,low,medium,low,False.
medium,medium,high,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,high,high,False.
high,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,medium,high,True.
medium,medium,medium,medium,low,False.
medium,high,medium,high,low,False.
high,medium,medium,medium,low,False.
medium,high,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,high,high,medium,low,True.
medium,high,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,low,low,False.
low,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,medium,low,low,True.
medium,medium,medium,medium,low,False.
medium,high,low,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,high,medium,low,False.
medium,medium,low,medium,low,False.
medium,high,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,True.
low,low,medium,medium,low,True.
low,high,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,high,medium,low,False.
low,medium,high,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,low,high,low,False.
medium,medium,medium,medium,low,False.
medium,low,medium,medium,low,False.
medium,medium,low,medium,high,False.
medium,medium,low,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,low,low,False.
medium,medium,high,medium,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,high,high,True.
high,medium,medium,medium,low,True.
medium,medium,medium,low,low,False.
low,medium,low,medium,low,False.
medium,medium,medium,high,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,low,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,high,medium,low,low,False.
medium,high,medium,medium,low,False.
high,high,medium,medium,low,True.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
high,medium,low,medium,low,False.
medium,high,medium,high,low,True.
medium,high,medium,medium,low,False.
low,medium,medium,medium,low,False.
low,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,high,medium,low,False.
medium,medium,medium,low,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,high,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,low,False.
medium,high,medium,medium,low,True.
high,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,high,False.
medium,medium,medium,medium,low,False.
medium,medium,low,low,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,low,medium,low,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,low,low,False.
high,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
high,high,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,high,high,low,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,high,True.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
low,medium,medium,medium,low,True.
medium,medium,low,low,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,high,low,False.
high,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,high,medium,high,low,False.
high,medium,low,medium,low,True.
high,medium,medium,high,low,False.
medium,medium,high,medium,low,False.
high,medium,low,high,low,False.
medium,medium,low,high,low,False.
high,medium,low,high,low,False.
medium,medium,low,medium,low,False.
medium,high,low,medium,low,False.
medium,medium,medium,low,low,False.
low,medium,medium,low,low,False.
high,medium,medium,medium,low,True.
medium,high,medium,medium,low,False.
medium,high,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
high,medium,high,high,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,low,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,high,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,high,medium,low,True.
medium,medium,high,low,low,False.
high,medium,medium,medium,low,False.
high,high,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,low,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,True.
low,high,medium,low,low,False.
medium,low,low,medium,low,False.
low,medium,medium,low,low,False.
medium,medium,medium,high,low,True.
medium,low,medium,medium,low,False.
medium,medium,medium,medium,low,False.
low,medium,medium,medium,low,False.
medium,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,False.
low,medium,low,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
high,medium,medium,medium,low,True.
medium,medium,medium,medium,low,False.
medium,medium,medium,medium,low,False.
medium,medium,medium,high,low,True.
